model,split,log_loss,brier,rps,accuracy,calibration_error,sharpness,n_matches,feature_set,C,half_life_years
elo_logistic,2022,0.9330271862322863,0.5487343271016709,0.18798715196498286,0.5773195876288659,0.02181828682456415,0.5835875162539206,970,baseline,,
base__c0.03__hl4.0,2022,0.9279958023440489,0.5452768799036714,0.18544722064363167,0.5773195876288659,0.02700067709142387,0.5802833922294702,970,base,0.03,4.0
base__c0.03__hl8.0,2022,0.9235763212716886,0.5431864605163542,0.1848330575376167,0.5783505154639176,0.02490358810490425,0.5791415494142932,970,base,0.03,8.0
base__c0.03__hl12.0,2022,0.9223883664704078,0.5426177720517369,0.18466961670248627,0.5793814432989691,0.022277792348227427,0.5793379441973396,970,base,0.03,12.0
base__c0.1__hl4.0,2022,0.9277112814761627,0.544923645877406,0.1853342722224709,0.5762886597938144,0.03370593763800353,0.580469669917442,970,base,0.1,4.0
base__c0.1__hl8.0,2022,0.9228906977238834,0.5427602200862104,0.1846968914997805,0.5793814432989691,0.025902208420297085,0.5794811964028757,970,base,0.1,8.0
base__c0.1__hl12.0,2022,0.9214321511213771,0.5420598321803496,0.18450172843540838,0.5824742268041238,0.01994269038016218,0.5799138855072304,970,base,0.1,12.0
base__c0.3__hl4.0,2022,0.9281776420228803,0.5449817057758106,0.185366849457774,0.5783505154639176,0.02943933230097856,0.5811397898414611,970,base,0.3,4.0
base__c0.3__hl8.0,2022,0.9226797949540035,0.542669565882902,0.1846708243338969,0.5845360824742268,0.025192828911685533,0.5803275114863318,970,base,0.3,8.0
base__c0.3__hl12.0,2022,0.9210079534931191,0.5418014284137528,0.18438050156549793,0.5835051546391753,0.02179030491364428,0.5805064088148101,970,base,0.3,12.0
base__c1.0__hl4.0,2022,0.9287771564486219,0.5450348049269803,0.18543036226473586,0.5773195876288659,0.02727449447907694,0.581658498667825,970,base,1.0,4.0
base__c1.0__hl8.0,2022,0.9219832747303064,0.5422226875571295,0.18446417909478433,0.5876288659793815,0.032747622054764454,0.5808461147425024,970,base,1.0,8.0
base__c1.0__hl12.0,2022,0.9205560116037741,0.5414469855803111,0.18420547620185543,0.5855670103092784,0.029439925329399673,0.5810913238243192,970,base,1.0,12.0
advanced__c0.03__hl4.0,2022,0.9280661147611718,0.5463889586484242,0.18555272404262807,0.5731958762886598,0.03897429340557241,0.5792794513698353,970,advanced,0.03,4.0
advanced__c0.03__hl8.0,2022,0.9236506645250296,0.5441211499137866,0.18494262512813156,0.5845360824742268,0.028295293892339944,0.574767180322676,970,advanced,0.03,8.0
advanced__c0.03__hl12.0,2022,0.9227157209009599,0.5436490623432636,0.18484314070747707,0.5824742268041238,0.028594432769180413,0.5732128646411876,970,advanced,0.03,12.0
advanced__c0.1__hl4.0,2022,0.9274699194866128,0.5460561943955596,0.18542601716403706,0.5701030927835051,0.04379651283788629,0.5802642302038681,970,advanced,0.1,4.0
advanced__c0.1__hl8.0,2022,0.9226019444345053,0.5435535530562146,0.18475388214870694,0.5835051546391753,0.033532946629569356,0.5758148609019217,970,advanced,0.1,8.0
advanced__c0.1__hl12.0,2022,0.9217228466228431,0.54310549783744,0.18464600534361594,0.5804123711340207,0.035773924031689004,0.5741149636453174,970,advanced,0.1,12.0
