model,split,log_loss,brier,rps,accuracy,calibration_error,sharpness,n_matches,feature_set,C,half_life_years
compact_v2__c1.0__hl12.0,2022,0.9181730535681102,0.540676488360842,0.1836258471182223,0.5865979381443299,0.02112833641111871,0.5776255457171111,970,compact_v2,1.0,12.0
compact_v2__c1.0__hl20.0,2022,0.9176757217302465,0.5404973158995093,0.18360195727957776,0.5845360824742268,0.021419133941115834,0.5773465968481174,970,compact_v2,1.0,20.0
compact_v2__c1.0__hlNone,2022,0.9172497553199768,0.5404053491669615,0.18364239012183964,0.5896907216494846,0.026212501448123655,0.5782814916610359,970,compact_v2,1.0,
compact_v2__c3.0__hl8.0,2022,0.9193236451703913,0.5412532300116988,0.18377328628597392,0.5845360824742268,0.017080441225358164,0.5786318717702602,970,compact_v2,3.0,8.0
compact_v2__c3.0__hl12.0,2022,0.9178330725825299,0.5404505006634723,0.1835321873238663,0.5865979381443299,0.01783755078852835,0.5779021160200852,970,compact_v2,3.0,12.0
compact_v2__c3.0__hl20.0,2022,0.9173484403309663,0.540284107801914,0.18351738381867458,0.5855670103092784,0.02147420945996458,0.5779421874277856,970,compact_v2,3.0,20.0
compact_v2__c3.0__hlNone,2022,0.9171762630920709,0.5403387942957417,0.18360074910716073,0.5896907216494846,0.027525938715178496,0.5786480908343905,970,compact_v2,3.0,
compact_fifa__c0.1__hl8.0,2022,0.9161442278562716,0.5380432832488876,0.18158204461391472,0.5824742268041238,0.028967105061973232,0.5783311210415033,970,compact_fifa,0.1,8.0
compact_fifa__c0.1__hl12.0,2022,0.9151603004835633,0.5375360321054772,0.18143141106243132,0.5804123711340207,0.030122767139472817,0.5758927239128276,970,compact_fifa,0.1,12.0
compact_fifa__c0.1__hl20.0,2022,0.9152814451448001,0.5377598691857808,0.18155792839860063,0.5752577319587628,0.03869887712492963,0.5739979535700047,970,compact_fifa,0.1,20.0
compact_fifa__c0.1__hlNone,2022,0.9165163349450477,0.5386664507793992,0.18199345564115854,0.5804123711340207,0.030346029070002105,0.5717094738840106,970,compact_fifa,0.1,
compact_fifa__c0.3__hl8.0,2022,0.9160902226003225,0.5379714977360041,0.18149441897385252,0.5814432989690722,0.027354073426263812,0.5790898367387959,970,compact_fifa,0.3,8.0
compact_fifa__c0.3__hl12.0,2022,0.9151446107506016,0.5375630058859338,0.18141703898837783,0.5824742268041238,0.029387268863550146,0.5769254963524235,970,compact_fifa,0.3,12.0
compact_fifa__c0.3__hl20.0,2022,0.9152588614328818,0.5376754189915751,0.18145258609183973,0.5773195876288659,0.038416860059732244,0.5746525503943252,970,compact_fifa,0.3,20.0
compact_fifa__c0.3__hlNone,2022,0.9163374862984172,0.5385880605937072,0.18193223179991583,0.5804123711340207,0.031588221537802434,0.5728696086600387,970,compact_fifa,0.3,
compact_fifa__c1.0__hl8.0,2022,0.9160732934802456,0.5381456555264224,0.1815381692914135,0.5793814432989691,0.02440604560801418,0.58021200232073,970,compact_fifa,1.0,8.0
compact_fifa__c1.0__hl12.0,2022,0.9154172619508596,0.5378577615758875,0.1814461107552649,0.5804123711340207,0.027510059063712324,0.577447397466505,970,compact_fifa,1.0,12.0
compact_fifa__c1.0__hl20.0,2022,0.9151204304469969,0.5378001326387586,0.18151636494758785,0.5742268041237113,0.033231791144535595,0.5758129655402564,970,compact_fifa,1.0,20.0
compact_fifa__c1.0__hlNone,2022,0.9168413977668488,0.5390326189787169,0.18203205956266344,0.5793814432989691,0.028440331728959774,0.5724943334565384,970,compact_fifa,1.0,
compact_fifa__c3.0__hl8.0,2022,0.9162070345627443,0.5382143587638356,0.18155797961395784,0.5793814432989691,0.02098094987936731,0.580670218872388,970,compact_fifa,3.0,8.0
compact_fifa__c3.0__hl12.0,2022,0.9152484979212712,0.5377543626844488,0.18142643702264546,0.5783505154639176,0.02531240247604535,0.5778813094038431,970,compact_fifa,3.0,12.0
compact_fifa__c3.0__hl20.0,2022,0.9154953082302452,0.5379463624972768,0.18152217817730926,0.5793814432989691,0.028608491733380308,0.5756875389695807,970,compact_fifa,3.0,20.0
compact_fifa__c3.0__hlNone,2022,0.916686607458805,0.5388895446317139,0.1819731718138948,0.5804123711340207,0.0307724841226914,0.5727848579266599,970,compact_fifa,3.0,
class_prior,2023,1.0543544476808402,0.636923863361496,0.2342585328728022,0.4667931688804554,0.01928693159400735,0.48608010047446276,1054,baseline,,
elo_logistic,2023,0.8836327594071622,0.5189451219890209,0.177553055905318,0.6091081593927894,0.022222305770418477,0.6053552192240145,1054,baseline,,
compact_v2__c0.1__hl8.0,2023,0.8516123049404497,0.49895588844569017,0.16943953420838012,0.6204933586337761,0.019459662813502063,0.6292312235680129,1054,compact_v2,0.1,8.0
compact_v2__c0.1__hl12.0,2023,0.8508347994028489,0.4982730245008006,0.16918048512893774,0.6204933586337761,0.0188486282886602,0.6290832121232666,1054,compact_v2,0.1,12.0
compact_v2__c0.1__hl20.0,2023,0.8506791159400564,0.49802055011313623,0.16907493034665277,0.6195445920303605,0.017274501661411604,0.6293751740898991,1054,compact_v2,0.1,20.0
compact_v2__c0.1__hlNone,2023,0.8505340463587967,0.49772187494167663,0.16899296563162283,0.618595825426945,0.014231871020114554,0.6299835152653979,1054,compact_v2,0.1,
compact_v2__c0.3__hl8.0,2023,0.8515478160264371,0.4989741668674041,0.1694325421232808,0.6195445920303605,0.025357582752346387,0.6294246447243814,1054,compact_v2,0.3,8.0
